post_id,platform,post_date,content_type,impressions,reach,likes,comments,shares,saves
1,Twitter,01-01-2024,Carousel,26644,22798,1481,259,102,82
2,Instagram,02-01-2024,Text,4500,3445,112,17,10,3
3,Twitter,03-01-2024,Image,5552,4265,315,47,20,18
4,Twitter,04-01-2024,Image,36006,31073,1003,143,22,147
5,Instagram,05-01-2024,Text,28574,20603,647,105,61,81
6,Instagram,06-01-2024,Image,38655,24747,549,40,41,79
7,Twitter,07-01-2024,Text,41270,25118,1213,220,89,107
8,LinkedIn,08-01-2024,Image,32820,27127,1461,264,54,63
9,Twitter,09-01-2024,Video,38804,30503,730,39,53,69
10,Twitter,10-01-2024,Image,46747,37922,2523,438,129,213
11,Twitter,11-01-2024,Text,4413,2929,138,9,9,18
12,Twitter,12-01-2024,Text,17950,11504,592,59,16,24
13,Instagram,13-01-2024,Text,24607,14871,690,111,50,61
14,Twitter,14-01-2024,Text,21264,14994,660,48,65,31
15,LinkedIn,15-01-2024,Text,43904,34112,1827,315,43,125
16,Instagram,16-01-2024,Carousel,20991,15064,441,77,43,52
17,LinkedIn,17-01-2024,Carousel,38994,28514,881,111,46,76
18,LinkedIn,18-01-2024,Image,3873,3374,241,12,21,18
19,LinkedIn,19-01-2024,Text,12661,8919,684,63,56,52
20,LinkedIn,20-01-2024,Image,32496,24508,1039,148,67,88
21,Instagram,21-01-2024,Text,27622,23067,836,164,66,103
22,Instagram,22-01-2024,Text,35350,25415,1490,215,134,204
23,LinkedIn,23-01-2024,Carousel,27850,21907,975,86,51,141
24,LinkedIn,24-01-2024,Carousel,27972,24019,516,74,23,64
25,Instagram,25-01-2024,Video,29261,25891,760,99,55,51
26,Instagram,26-01-2024,Carousel,25851,16651,1048,174,88,117
27,Instagram,27-01-2024,Video,23632,20748,1235,81,100,101
28,Twitter,28-01-2024,Video,49549,37044,801,131,67,48
29,Twitter,29-01-2024,Video,15805,10707,356,46,19,46
30,Twitter,30-01-2024,Video,10317,7611,257,49,21,8
31,LinkedIn,31-01-2024,Video,11761,10514,634,64,18,87
32,Twitter,01-02-2024,Image,917,685,14,2,0,1
33,LinkedIn,02-02-2024,Carousel,42076,29395,771,146,15,82
34,LinkedIn,03-02-2024,Video,20858,16478,1120,73,51,122
35,Twitter,04-02-2024,Text,3767,2531,77,14,3,10
